Date,Time,Open,High,Low,Close,Volume
2018.01.05,3:00,6.48349,6.48414,6.4759,6.48224,3664
2018.01.05,4:00,6.48234,6.48414,6.47575,6.48074,3026
2018.01.05,5:00,6.48084,6.48174,6.47624,6.47704,1349
2018.01.05,6:00,6.47704,6.47744,6.47246,6.47254,1112
2018.01.05,7:00,6.47264,6.48274,6.47264,6.48244,1616
2018.01.05,8:00,6.48234,6.48494,6.48067,6.48322,2119
2018.01.05,9:00,6.48324,6.48354,6.47349,6.48022,2987
2018.01.05,10:00,6.48029,6.48284,6.47806,6.48229,1800
2018.01.05,11:00,6.48234,6.48246,6.47968,6.48067,1074
2018.01.05,12:00,6.48073,6.48087,6.47735,6.47836,1303
2018.01.05,13:00,6.47841,6.48044,6.47687,6.47989,851
2018.01.05,14:00,6.4799,6.48123,6.47893,6.47964,1004
2018.01.05,15:00,6.47965,6.48424,6.47478,6.47674,4052
2018.01.05,16:00,6.47674,6.48355,6.47673,6.48044,3450
2018.01.05,17:00,6.48053,6.48314,6.47804,6.48104,2540
2018.01.05,18:00,6.48104,6.48184,6.47854,6.47984,903
2018.01.05,19:00,6.47984,6.48147,6.47915,6.47924,551
2018.01.05,20:00,6.47914,6.47974,6.47684,6.47834,368
2018.01.05,21:00,6.47834,6.47834,6.47738,6.47784,292
2018.01.05,22:00,6.47763,6.47994,6.47751,6.47944,405
2018.01.08,1:00,6.47847,6.47849,6.47439,6.47484,1081
2018.01.08,2:00,6.47494,6.47604,6.47094,6.47134,1241
2018.01.08,3:00,6.47134,6.47883,6.46574,6.47624,3672
2018.01.08,4:00,6.4762,6.4854,6.47426,6.48174,3331
2018.01.08,5:00,6.48184,6.48374,6.48044,6.48206,1474
2018.01.08,6:00,6.482,6.48944,6.48191,6.48856,1910
2018.01.08,7:00,6.48856,6.49314,6.48714,6.48781,2540
2018.01.08,8:00,6.4878,6.49055,6.48486,6.48604,2546
2018.01.08,9:00,6.48601,6.49614,6.48584,6.49567,2841
2018.01.08,10:00,6.49574,6.50134,6.49381,6.49956,2269
2018.01.08,11:00,6.4996,6.49974,6.49514,6.49519,1217
2018.01.08,12:00,6.49515,6.49666,6.49339,6.49525,1466
2018.01.08,13:00,6.49524,6.49608,6.49212,6.49514,1050
2018.01.08,14:00,6.49524,6.49874,6.4928,6.49814,1268
2018.01.08,15:00,6.49824,6.49895,6.49535,6.49719,1641
2018.01.08,16:00,6.49717,6.49844,6.49531,6.498,1246
2018.01.08,17:00,6.49804,6.49944,6.49525,6.4954,1343
2018.01.08,18:00,6.49545,6.49664,6.49343,6.49444,1054
2018.01.08,19:00,6.49454,6.49454,6.48964,6.49014,962
2018.01.08,20:00,6.49004,6.49484,6.4898,6.49394,559
2018.01.08,21:00,6.49385,6.49476,6.49267,6.49475,378
2018.01.08,22:00,6.49475,6.49701,6.49468,6.49681,405
2018.01.09,1:00,6.49806,6.49909,6.49538,6.49597,887
2018.01.09,2:00,6.49613,6.50474,6.49513,6.50174,2388
2018.01.09,3:00,6.50164,6.50934,6.50111,6.50286,3370
2018.01.09,4:00,6.50294,6.50296,6.4981,6.49864,2859
2018.01.09,5:00,6.49874,6.50076,6.49704,6.50034,1477
2018.01.09,6:00,6.50034,6.50114,6.49997,6.50054,620
2018.01.09,7:00,6.50053,6.50209,6.50003,6.50186,910
2018.01.09,8:00,6.50186,6.50524,6.50124,6.50376,1907
2018.01.09,9:00,6.50374,6.52304,6.50143,6.52154,4484
2018.01.09,10:00,6.52127,6.53484,6.51946,6.53038,4825
2018.01.09,11:00,6.53038,6.53134,6.52494,6.52754,2768
2018.01.09,12:00,6.52733,6.53814,6.52671,6.53354,2163
2018.01.09,13:00,6.53354,6.53474,6.52913,6.52964,1942
2018.01.09,14:00,6.52972,6.53004,6.52487,6.52628,1499
2018.01.09,15:00,6.52634,6.53083,6.52504,6.52964,1883
2018.01.09,16:00,6.52964,6.53374,6.52633,6.5325,2092
2018.01.09,17:00,6.53252,6.53267,6.52693,6.53119,2307
2018.01.09,18:00,6.53119,6.53384,6.52901,6.53274,1426
2018.01.09,19:00,6.53274,6.53596,6.53224,6.53304,1099
2018.01.09,20:00,6.53297,6.53404,6.53136,6.53304,497
2018.01.09,21:00,6.53314,6.53634,6.53218,6.53599,908
2018.01.09,22:00,6.53595,6.5368,6.53553,6.53586,450
2018.01.10,1:00,6.53263,6.53661,6.53258,6.53635,1357
2018.01.10,2:00,6.53635,6.53664,6.53234,6.53284,2311
2018.01.10,3:00,6.53274,6.54454,6.53104,6.53584,4662
2018.01.10,4:00,6.53554,6.53934,6.52702,6.52794,3604
2018.01.10,5:00,6.52784,6.52915,6.52546,6.52763,1750
2018.01.10,6:00,6.52764,6.52905,6.52631,6.52657,1245
2018.01.10,7:00,6.52657,6.53434,6.52648,6.53234,1862
2018.01.10,8:00,6.53244,6.53399,6.52844,6.5302,2703
2018.01.10,9:00,6.5302,6.53117,6.52421,6.52884,3830
2018.01.10,10:00,6.52894,6.52975,6.51778,6.52216,3047
2018.01.10,11:00,6.52216,6.52358,6.51915,6.52073,1873
2018.01.10,12:00,6.52073,6.52464,6.50827,6.51322,3554
2018.01.10,13:00,6.51323,6.51793,6.51003,6.51458,3275
2018.01.10,14:00,6.51459,6.51864,6.51216,6.51822,2752
2018.01.10,15:00,6.51789,6.51789,6.51028,6.51559,3363
2018.01.10,16:00,6.51556,6.51894,6.51282,6.5163,2377
2018.01.10,17:00,6.51634,6.51643,6.5124,6.51564,2268
2018.01.10,18:00,6.51554,6.52144,6.51544,6.51824,1857
2018.01.10,19:00,6.51834,6.52183,6.51834,6.5211,1207
2018.01.10,20:00,6.5211,6.52174,6.51378,6.51777,1335
2018.01.10,21:00,6.51779,6.52294,6.51776,6.52149,1366
2018.01.10,22:00,6.52142,6.52247,6.51924,6.5223,1060
2018.01.11,1:00,6.52214,6.52238,6.52064,6.52181,1224
2018.01.11,2:00,6.52191,6.52634,6.51971,6.51971,2991
2018.01.11,3:00,6.51971,6.52317,6.51523,6.52043,3873
2018.01.11,4:00,6.52043,6.52234,6.51668,6.51744,2077
2018.01.11,5:00,6.51734,6.52434,6.51552,6.5216,2733
2018.01.11,6:00,6.52161,6.52534,6.52108,6.52329,1747
2018.01.11,7:00,6.52329,6.52544,6.52072,6.52134,1733
2018.01.11,8:00,6.52144,6.52264,6.51737,6.52044,2116
2018.01.11,9:00,6.52044,6.52054,6.51253,6.51324,3696
2018.01.11,10:00,6.51317,6.51688,6.51273,6.51577,2502
2018.01.11,11:00,6.51577,6.51634,6.51219,6.51219,2002
2018.01.11,12:00,6.51219,6.51424,6.51104,6.51255,1522
2018.01.11,13:00,6.51253,6.51467,6.51156,6.51264,995
2018.01.11,14:00,6.51264,6.51644,6.50782,6.50984,2521
